tempo,deslocamento,velocidade,aceleracao
0.0,0.0,0.0,1.5
0.001,7.503162837455067e-07,0.0015009484681303574,1.5018954041882653
0.002,3.0025272054409526e-06,0.0030037877434241095,1.503781613520414
0.003,6.758518974017085e-06,0.004508508628613159,1.505658623179632
0.004,1.2020168598735294e-05,0.0060151019216340374,1.5075264283919891
0.005,1.8789343884413684e-05,0.007523558415670787,1.5093850244264433
0.006,2.7067903426696032e-05,0.009033868899197859,1.5112344065948502
0.007,3.685769660736364e-05,0.010546024156023008,1.5130745702519683
0.008,4.8160563589690094e-05,0.012060014965330206,1.5149055107954656
0.009000000000000001,6.097833531383895e-05,0.013575832101722545,1.516727223665926
0.01,7.531283349230428e-05,0.015093466335265164,1.5185397043468554
0.011,9.116587060539423e-05,0.016612908431528173,1.5203429483646884
0.012,0.00010853924989675739,0.018134149151629583,1.5221369512887926
0.013000000000000001,0.00012743476536895224,0.019657179252278237,1.5239217087314747
0.014,0.00014785420177905941,0.02118198948581676,1.5256972163479865
0.015,0.00016979933463433691,0.022708570600264506,1.5274634698365297
0.016,0.0001932719301879184,0.0242369133393605,1.529220464938261
0.017,0.00021827374543455428,0.02576700844260641,1.5309681974372953
0.018000000000000002,0.0002448065281063958,0.027298846645309502,1.532706663160714
0.019,0.0002728720166688223,0.0288324186786256,1.534435857978566
0.02,0.000302471940316311,0.030367715269602066,1.5361557778038737
0.021,0.0003336080189683502,0.03190472714122078,1.5378664185926363
0.022,0.0003662819632653953,0.0334434450124411,1.5395677763438345
0.023,0.00040049547456486755,0.034983859598242864,1.5412598470994336
0.024,0.0004362502449371964,0.036525961609669366,1.5429426269443878
0.025,0.00047354795716190404,0.03806974175387035,1.5446161120066424
0.026000000000000002,0.0005123902847237337,0.03961519073414501,1.5462802984571378
0.027,0.0005527788918088203,0.04116229924998497,1.5479351825098122
0.028,0.0005947154333009048,0.042711057997117295,1.5495807604216054
0.029,0.0006382015547775904,0.04426145766754749,1.55121702849246
0.03,0.0006832388925066433,0.0458134889496025,1.552843983065324
0.031,0.0007298290734423353,0.04736714252797374,1.5544616205261548
0.032,0.0007779737152218295,0.048922409083760075,1.556069937303919
0.033,0.0008276744261616097,0.050479279294510834,1.5576689298705957
0.034,0.0008789328052539522,0.05203774383426885,1.5592585947411781
0.035,0.0009317504421634407,0.05359779337361345,1.5608389284736743
0.036000000000000004,0.0009861289172235245,0.05515941857970347,1.5624099276691104
0.037,0.0010420698014331194,0.05672261011632028,1.5639715889715293
0.038,0.0010995746564532516,0.058287358643910825,1.5655239090679933
0.039,0.0011586450346037452,0.0598536548196306,1.5670668846885847
0.04,0.0012192824788599518,0.061421489297386694,1.5686005126064058
0.041,0.001281488522849524,0.06299085272788081,1.5701247896375807
0.042,0.001345264690849231,0.0645617357586523,1.5716397126412536
0.043000000000000003,0.0014106124977818185,0.06613412903412116,1.5731452785195912
0.044,0.0014775334492129104,0.06770802319563106,1.5746414842177803
0.045,0.0015460290413479537,0.06928340888149237,1.5761283267240298
0.046,0.0016161007610292074,0.07086027672702518,1.5776058030695677
0.047,0.001687750085732773,0.0724386173646023,1.5790739103286429
0.048,0.0017609784835656696,0.07401842142369235,1.580532645618523
0.049,0.0018357874132629503,0.07559967953090266,1.5819820060994936
0.05,0.001912178324184863,0.0771823823100224,1.5834219889748578
0.051000000000000004,0.0019901526563140537,0.07876652038206555,1.5848525914909324
0.052000000000000005,0.0020697118402528123,0.0803520843653139,1.586273810937051
0.053,0.002150857297220363,0.08193906487536007,1.5876856446455572
0.054,0.002233590439050195,0.08352745252515055,1.5890880899918052
0.055,0.0023179126681874404,0.08511723792502868,1.5904811443941582
0.056,0.0024038253776862894,0.08670841168277765,1.591864805313986
0.057,0.002491329951207454,0.08830096440366356,1.5932390702556594
0.058,0.002580427763015671,0.08989488669047833,1.594603936766553
0.059000000000000004,0.0026711201779772513,0.09149016914358281,1.5959594024370378
0.06,0.0027634085515576673,0.09308680236094968,1.5973054649004805
0.061,0.0028572942298191895,0.0946847769382065,1.5986421218332392
0.062,0.00295277854941856,0.09628408346867867,1.5999693709546616
0.063,0.0030498628376047147,0.09788471254343244,1.6012872100270796
0.064,0.0031485484122165423,0.09948665475131788,1.6025956368558065
0.065,0.003248836581680692,0.10108990067901187,1.6038946492891335
0.066,0.003350728645009422,0.10269444091106106,1.6051842452183247
0.067,0.0034542258917984892,0.10430026602992484,1.6064644225776143
0.068,0.0035593296022250844,0.10590736661601834,1.607735179344199
0.069,0.003666041047045809,0.10751573324775535,1.6089965135382376
0.07,0.003774361487594696,0.10912535650159129,1.6102484232228438
0.07100000000000001,0.0038842921757812716,0.1107362269520662,1.6114909065040808
0.07200000000000001,0.003995834354088663,0.11234833517184761,1.6127239615309572
0.073,0.0041089892555717464,0.11396167173177359,1.6139475864954218
0.074,0.0042237581038553395,0.11557622720089557,1.6151617796323574
0.075,0.004340142113132436,0.11719199214652135,1.6163665392195747
0.076,0.004458142488162482,0.118808957134258,1.6175618635778082
0.077,0.0045777604242697,0.1204271127280548,1.6187477510707078
0.078,0.004698997107341451,0.12204644949024611,1.6199242001048348
0.079,0.0048218537138266385,0.12366695798159431,1.6210912091296537
0.08,0.004946331410734162,0.1252886287613327,1.622248776637526
0.081,0.005072431355631408,0.1269114523872084,1.623396901163705
0.082,0.005200154696642784,0.1285354194155252,1.624535581286327
0.083,0.005329502572448297,0.1301605204011865,1.6256648156264033
0.084,0.005460476112282176,0.1317867458977381,1.6267846028478166
0.085,0.0055930764359315354,0.13341408645741112,1.6278949416573096
